AAR,BYDEL,ALDER,STATKODE,PERSONER
2015,1,0,5100,614
2015,1,0,5104,2
2015,1,0,5106,1
2015,1,0,5110,1
2015,1,0,5120,4
2015,1,0,5126,1
2015,1,0,5130,5
2015,1,0,5140,3
2015,1,0,5150,5
2015,1,0,5154,1
2015,1,0,5164,3
2015,1,0,5170,3
2015,1,0,5180,3
2015,1,0,5228,1
2015,1,0,5306,2
2015,1,0,5390,1
2015,1,0,5448,1
2015,1,0,5464,1
2015,1,0,5472,1
2015,1,0,5502,1
2015,1,0,5704,1
2015,1,0,5752,1
2015,1,1,5100,540
2015,1,1,5104,3
2015,1,1,5106,2
2015,1,1,5110,3
2015,1,1,5120,4
2015,1,1,5130,3
2015,1,1,5140,1
2015,1,1,5142,1
2015,1,1,5150,2
2015,1,1,5154,1
2015,1,1,5156,3
2015,1,1,5164,2
2015,1,1,5170,4
2015,1,1,5180,3
2015,1,1,5390,3
2015,1,1,5432,1
2015,1,1,5448,2
2015,1,1,5462,1
2015,1,1,5472,1
2015,1,1,5502,3
2015,1,1,5700,1
2015,1,1,5704,1
2015,1,1,5750,1
2015,1,1,5756,1
2015,1,2,5100,485
2015,1,2,5110,1
2015,1,2,5115,1
2015,1,2,5120,3
2015,1,2,5130,4
2015,1,2,5140,1
2015,1,2,5142,1
2015,1,2,5150,3
2015,1,2,5156,1
2015,1,2,5164,3
2015,1,2,5170,4
2015,1,2,5180,5
2015,1,2,5288,1
2015,1,2,5306,1
2015,1,2,5314,2
2015,1,2,5318,1
2015,1,2,5390,5
2015,1,2,5432,1
2015,1,2,5611,1
2015,1,2,5700,1
2015,1,3,5100,469
2015,1,3,5104,1
2015,1,3,5106,1
2015,1,3,5110,1
2015,1,3,5115,2
2015,1,3,5120,4
2015,1,3,5126,1
2015,1,3,5130,2
2015,1,3,5140,1
2015,1,3,5150,2
2015,1,3,5156,1
2015,1,3,5164,2
2015,1,3,5170,4
2015,1,3,5180,2
2015,1,3,5234,1
2015,1,3,5390,2
2015,1,3,5472,1
2015,1,3,5478,1
2015,1,3,5502,1
2015,1,3,5700,2
2015,1,3,5704,1
2015,1,4,5100,452
2015,1,4,5106,1
2015,1,4,5120,1
2015,1,4,5126,1
2015,1,4,5128,1
2015,1,4,5130,4
2015,1,4,5140,1
2015,1,4,5142,1
2015,1,4,5150,2
2015,1,4,5170,4
2015,1,4,5180,2
2015,1,4,5234,1
2015,1,4,5289,1